name,position,team,element,team_id,position_id,GW,value,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bps,bonus,yellow_cards,red_cards,penalties_saved,penalties_missed,total_points,was_home,opponent_team,fixture_id,team_h_score,team_a_score,kickoff_time,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
Yates,MID,NFO,522,16,3,15,47,16,0,0,0,0,0,6,0,0,0,0,0,1,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
Da Silva Moreira,MID,NFO,523,16,3,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
Stamenic,MID,NFO,524,16,3,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
Wood,FWD,NFO,525,16,4,15,72,0,0,0,0,0,0,0,0,0,0,0,0,0,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
Igor Jesus,FWD,NFO,526,16,4,15,58,90,0,0,0,3,0,11,0,0,0,0,0,2,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
Awoniyi,FWD,NFO,527,16,4,15,52,0,0,0,0,0,0,0,0,0,0,0,0,0,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
Patterson,GKP,SUN,528,17,1,15,42,0,0,0,0,0,0,0,0,0,0,0,0,0,,,147,3,0,2025-12-06T15:00:00Z,1100,1145,1100,1120,1100,1170
Moore,GKP,SUN,529,17,1,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,147,3,0,2025-12-06T15:00:00Z,1100,1145,1100,1120,1100,1170
Nna Noukeu,GKP,SUN,530,17,1,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,147,3,0,2025-12-06T15:00:00Z,1100,1145,1100,1120,1100,1170
Ballard,DEF,SUN,531,17,2,15,47,90,0,0,0,3,0,2,0,0,0,0,0,1,,,147,3,0,2025-12-06T15:00:00Z,1100,1145,1100,1120,1100,1170
