name,position,team,element,team_id,position_id,GW,value,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bps,bonus,yellow_cards,red_cards,penalties_saved,penalties_missed,total_points,was_home,opponent_team,fixture_id,team_h_score,team_a_score,kickoff_time,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
Kelleher,GKP,BRE,101,5,1,19,46,90,0,0,1,0,2,27,0,0,0,0,0,6,,,182,0,0,2026-01-01T20:00:00Z,1140,1225,1110,1170,1170,1280
Balcombe,GKP,BRE,102,5,1,19,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,182,0,0,2026-01-01T20:00:00Z,1140,1225,1110,1170,1170,1280
Cox,GKP,BRE,103,5,1,19,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,182,0,0,2026-01-01T20:00:00Z,1140,1225,1110,1170,1170,1280
Eyestone,GKP,BRE,104,5,1,19,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,182,0,0,2026-01-01T20:00:00Z,1140,1225,1110,1170,1170,1280
Valdimarsson,GKP,BRE,105,5,1,19,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,182,0,0,2026-01-01T20:00:00Z,1140,1225,1110,1170,1170,1280
Collins,DEF,BRE,106,5,2,19,50,90,0,0,1,0,0,40,3,0,0,0,0,9,,,182,0,0,2026-01-01T20:00:00Z,1140,1225,1110,1170,1170,1280
Lewis-Potter,DEF,BRE,107,5,2,19,48,90,0,0,1,0,0,23,0,0,0,0,0,6,,,182,0,0,2026-01-01T20:00:00Z,1140,1225,1110,1170,1170,1280
Ajer,DEF,BRE,108,5,2,19,44,90,0,0,1,0,0,29,1,0,0,0,0,9,,,182,0,0,2026-01-01T20:00:00Z,1140,1225,1110,1170,1170,1280
Henry,DEF,BRE,109,5,2,19,43,90,0,0,1,0,0,19,0,0,0,0,0,6,,,182,0,0,2026-01-01T20:00:00Z,1140,1225,1110,1170,1170,1280
Kayode,DEF,BRE,110,5,2,19,45,90,0,0,1,0,0,27,0,0,0,0,0,6,,,182,0,0,2026-01-01T20:00:00Z,1140,1225,1110,1170,1170,1280
Pinnock,DEF,BRE,111,5,2,19,42,0,0,0,0,0,0,0,0,0,0,0,0,0,,,182,0,0,2026-01-01T20:00:00Z,1140,1225,1110,1170,1170,1280
Roerslev,DEF,BRE,112,5,2,19,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,182,0,0,2026-01-01T20:00:00Z,1140,1225,1110,1170,1170,1280
